980	395	382	661	789
539	502	47	874	520
103	788	182	813	856
961	185	7	885	807
664	724	97	22	385
216	148	270	933	762
749	546	319	481	388
191	679	874	950	851
260	728	906	810	765
104	780	711	202	593
196	644	850	946	802
597	26	974	314	807
609	722	59	739	110
836	608	296	430	940
894	65	201	262	615
520	889	985	304	18
222	414	362	470	61
770	944	601	730	490
23	733	530	763	940
251	7	902	254	266
724	985	325	711	577
640	28	96	828	752
662	690	539	930	931
699	398	780	411	940
997	111	91	340	225
574	291	89	652	420
579	323	347	15	838
166	798	800	279	397
737	402	596	330	21
164	165	102	717	428
652	963	5	860	407
974	598	426	985	3
480	874	958	847	22
281	106	784	376	311
816	463	719	896	560
431	900	296	534	818
385	912	670	380	140
705	720	657	832	622
885	813	860	942	86
889	953	554	48	636
469	835	882	344	234
43	421	243	699	111
304	206	687	44	880
85	978	703	247	6
923	82	409	9	352
876	185	740	406	465
799	205	503	994	57
900	332	914	665	961
888	476	317	359	317
550	688	161	805	334
834	147	595	829	410
118	278	966	201	178
643	811	101	84	470
297	603	839	161	92
2	844	998	43	816
985	247	504	417	499
602	278	275	506	298
39	204	911	424	774
778	368	669	217	83
801	122	581	998	684
58	152	728	396	377
190	667	184	735	56
389	736	52	706	352
180	216	895	575	305
731	115	691	740	692
932	493	478	92	3
311	909	873	681	440
137	202	207	789	881
731	566	504	491	650
7	780	668	922	488
995	158	726	839	527
886	195	654	859	274
775	306	37	103	981
229	46	840	324	334
825	498	116	90	812
912	218	699	90	325
218	820	429	445	22
624	953	136	323	999
343	225	179	224	343
284	937	89	724	837
198	66	534	583	476
975	956	738	221	454
50	735	758	398	861
310	631	961	338	965
772	436	890	375	750
480	709	782	366	357
155	981	680	231	705
245	408	837	451	93
45	258	70	141	838
311	483	1000	918	245
397	739	239	79	997
286	819	845	190	775
631	878	864	425	95
764	654	951	410	680
40	912	408	882	378
489	577	143	725	613
828	9	308	802	171
254	749	205	418	52
904	927	694	919	679
893	916	859	244	458
